deir siad	abraid
hot	te
i nÉirinn	in
sing	can
in	i
ECB	BCE
form	cum
about	um
India	India
stalk	gas
ill temper	angla
panama	Panama
i do	it
vulva	pit
draw	dear
weapon	arm
stone	art
love	car
booth	both
danger	baol
toil	dua
Leoin	Leon
stone	ail
iota	dada
breast	mama
crowd	dream
that	go
le do	led
follow	lean
le do	let
soft	bog
definite article	sin
house	teach
fame	cloth
ill-treatment	anchor
organ	ball
fall	tit
le mo	lem
let	lig
portent	mana
in the	san
noun	-san
taffrail	lifting
milk	anglais
light	las
yes	sea
compact disc	CD
travel	sir
twist	cor
buzz	dord
spear	ga
come	tar
pea	pis
board	tile
it	ea
dirt	sail
wait	fan
ring	fail
bee	beach
oil	ola
about	im-
watch	fair
foot	cos
IPA	AIF
stand	seas
place	log
de mo	dem
tone	ton
that	nach
near	gar
clear away	cart
de an	den
palm	bos
flood	tuil
crack	craic
to	duit
board	bord
bell	clog
from	di
i	sa
fringe	bob
worth	fiú
tuft	dos
pan	panna
boom	bum
over	for-
horn	corn
smoke	toit
mention	lua
air	aer
carcass	mart
mouth	cab
greed	saint
base	bun
stump	smut
horse	each
what	cad
length	fad
job	jab
son	mac
de do	det
family group	fine
watch	faire
with	le
gum	guma
where	mar
nephew	nia
do do	dot
pack	paca
turn	seal
sever	scar
mouth	pus
i do	id
relationship	gaol
poet	bard
Irish	Gaeilge
a fhios	's
soccer	sacar
weak	lag
beak	gob
border	ur
pitch	pic
critique	critic
Irishman	Scot
paragraph	paragraf
anus	anas
crooked	cam
can	canna
hide	ceil
war	cog
sowing	cur
word	focal
blow	hap
heap	moll
pole	pol
riddle	rill
rod	slat
wisp	sop
quick	tapa
fire	tine
volt	volta
will	toil
prosperity	bail
not	char
slow	mall
fixed	suite
thirst	tart
housing	tithe
wicker container	cis
prick	clip
barrier	bac
longer	sia
dative case	Éire
barrow	borra
lump	gamba
Siria	Siria
attributive	sean
aloe	aló
cub	cana
I	mise
zip	sip
scribal contraction	nod
stake	post
storage pit	poll
stop	stad
police officer	garda
Sinn Fein	Sinn Féin
tanist	tánaiste
honey	mil
dragon	draig
comfort	só
break	bris
calf	orca
-ish	-is
begetting	gin
whitethorn	sceach
small	beag
Irish	Gaeltacht
love	grá
whiskey	uisce beatha
calmness	ciúnas
