paint	cat
free	gratis
belly	abdomen
mandate	mandat
isolated	pencil
river	ci
Albanian	Albania
Chinese	China
Indonesian	Indonesia
noodle	mi
poison	tuba
water	air
night	malam
language	bahasa
person	orang
that	anu
good	baik
country	balad
back	balik
bag	beg
sun	matahari
silver	perak
I	saya
owner	punya
hungry	lapar
book	buku
that	itu
look	lihat
cat	kucing
dictionary	kamus
he	ia
he	dia
intermediate	sedang
week	minggu
like	suka
I	aku
go	pergi
house	rumah
friend	teman
there	sana
once	sekali
moon	bulan
river	sungai
not	tak
four	empat
we	kita
we	kami
same	sama
base	alas
chest	dada
people	hang
other	lain
in turn	pula
the	sang
spades	sped
cake	kek
starch	kanji
beer	bir
where	mana
weight	hun
zat lemas	nitrogen
word	kata
blood	darah
this	ni
Panthera onca	jaguar
tree	pohon
you	mu
the	si
tea	ca
here	nah
now	la
three	tri
that	tu
father	baba
halal	halal
cloud	mega
bahasa Bali	Bali
also	pun
file	fail
coconut	kelapa
coffee	kopi
pole	galah
this	ini
play	main
Japan	Jepang
novel	roman
from	dari
fish	ikan
light	nur
imperative	lah
hour	jam
I	den
zone	zon
quiet	diem
be	ada
teach	ajar
with	dengan
woman	wanita
buy	beli
what	apa
chocolate	coklat
shirt	baju
west	barat
rope	tali
laki	laki-laki
male	jantan
female	betina
Holland	Belanda
study	belajar
horse	kuda
time	waktu
money	duit
Germany	Jerman
banana	pisang
chapter	bab
palau	pulau
feral	jalang
friend	kawan
friend	sahabat
wood	kayu
Russia	Rusia
short	pendek
ash	abu
done	sudah
foreign	asing
not	tidak
earth	bumi
ground	tanah
reason	sebab
black	hitam
forest	hutan
feeling	cinta
table	meja
very	amat
magical	ajaib
get up	bangun
not yet	belum
normal	biasa
animal	binatang
and	dan
slave	hamba
eat	makan
lebih	tinggi
low	rendah
foot	kaki
again	lagi
face	muka
apartment	apartment
hear	dengar
small	kecil
you	engkau
uterus	uterus
female	perempuan
sand	pasir
slave	kaula
child	anak
he	beliau
in	di
expensive	mahal
price	harga
kill	bunuh
you	kamu
kill	membunuh
killer	pembunuh
worm	cacing
agenda	acara
amok	amuk
anthology	antologi
on	atas
read	baca
divide	bagi
handsome	bagus
iron	besi
talk	bicara
no	bukan
old	buruk
develop	cuci
leave	cuti
I	daku
flat	datar
delicious	enak
brother	abang
sun	شمس
sun	سوريا
mosque	مسجد
donkey	حمار
bide	nanti
crooked	lok
itu	siapa
widower	duda
map	peta
thigh	paha
de-	de-
hesitate	gamer
roof	atap
cloud	awan
family	keluarga
sister	kakak
why	kenapa
why	mengapa
salty	asin
strange	aneh
neglectful	alpa
like	ala
Chinese	Cina
tempeh	tempe
name	nama
denote	para
hall	balai
religion	din
century	abad
river	wai
mother	bu
condom	kondom
maybe	kot
computer	komputer
telephone	telefon
slave	kula
silver	argentum
train	tren
mathematics	matematik
person	mat
nipple	dot
satay	sate
five	lima
very	sangat
grandchild	cucu
god	dewa
lithium	litium
only	jak
build	bina
eye	عين
command	aba-aba
letter	aksara
swamp	paya
wind	pawana
monkey	monyet
gong	mong
minute	minit
moustache	misai
if only	moga
eel	moa
chili	cabai
feast day	id
dodge	egos
pepper	lada
serve	laden
lion	singa
tea	teh
sulfur	belerang
echo	gema
dais	geta
toll	bea
town	bandar
nutmeg	pala
try	tray
potential	bakat
brother	nana
educator	guru
incantation	mantra
husband	laki
hydrogen	hidrogen
lead	plumbum
acoustics	akustik
terima kasih	terima kasih
Jew	Yahudi
alphabet	alfabet
document	surat
gold	emas
I	ana
cheek	pipi
stone	batu
pig	babi
miniskirt	miniskirt
bean clam	remis
I	انا
I	ku
flower	bunga
money	wang
film	فيلم
rickshaw	lancia
Hijri	رمضان
afternoon	sore
scheme	skim
upriver	ulu
yam	ubi
sugar	gula
start	mulai
di mana	di mana
ke mana	ke mana
yang mana	yang mana
Sir	Tuan
pinch	cubit
cougar	puma
store	stor
bridge	titi
antigen	antigen
boil	rebus
rye	rai
pillow	bantal
bus	bas
custom	adat
veil	purdah
deaf	tuli
potassium	kalium
smoke	asap
done	dah
patriarchal	baka
abacus	abakus
jagged	ringgit
isn't it	kan
eye	mata
sodium	natrium
microscope	mikroskop
city	kota
lake	danau
south	selatan
translation	terjemahan
religion	agama
brother	bung
symbol	simbol
you	kau
almond	badam
come on	mari
wheel	roda
letter	a
June	Jun
March	Mac
Sunday	Minggu
October	Oktober
France	Perancis
Qur'an	Quran
kan	akan
Neptune	Neptun
diagram	rajah
king	raja
master	tuan
sin	dosa
Abraham	Ibrahim
Hijri	Ramadan
slander	fitnah
adhan	azan
wisdom	hikmah
faith	iman
mosque	masjid
community	ummah
peaceful	aman
tonsil	tonsil
content	isi
second	saat
fig	ara
dog	asu
taro	talas
Japan	Jepun
correct	sah
licence	lesen
dog	anjing
franchise	francais
run	lari
thirsty	haus
complete	lengkap
jewelfish	lahu
grandmother	nek
helicopter	helikopter
ember	bara
stove	dapur
box	peti
joint	sendi
calendar	kalendar
country	desa
morning	pagi
eye	ain
they	sida
party	parti
song	lagu
gold	aurum
manner	cara
me	koi
illusionary	maya
English	BI
name	isim
grandfather	aki
hope	asa
issue	isu
time	masa
tennis	tenis
firefighter	bomba
latent heat	haba
intestine	usus
search	carian
ozone	ozon
aunt	tante
doctor	doktor
galaxy	galaksi
coat of mail	lamina
manure	baja
father	rama
day	يوم
emperor	maharaja
democracy	demokrasi
mother	uma
only	cuma
old	tua
translate	terjemah
ray	pari
fund	dana
not	dak
rainbow	teja
abstraction	per-
temple	kuil
path	jalan
marijuana	ganja
ferocious	ganas
suggestibility	latah
retailer	toko
police station	balai polis
sultan	سلطان
machine translation	terjemahan mesin
big	besar
sea	laut
awake	jaga
okay	okey
change	ubah
tool	alat
dubnium	hahnium
fire	api
world	loka
fence	pagar
English	Inggeris
knife	parang
blind	buta
resin	damar
comma punctuation mark	،
receipt	resit
when	bila
sign	tanda
day	hari
hope	harap
foam	busa
root	akar
dirty	kotor
in-law	ipar
mighty	maha
level	paras
must	mesti
agape	inga
book	kitab
soap	sabun
net	jala
tungsten	wolfram
lebih	dalam
left	kiri
drink	minum
hunt	buru
sago	sagu
elbow	siku
grandfather	tuk
Muharram	محرم
open	buka
ship	kapal
rich	kaya
laugh	tawa
deer	rusa
sheep	biri
fine	denda
hat	topi
member	warga
dead	mati
guess	duga
origin	asal
form	rupa
park	taman
return	pulang
paper	kertas
verb	kata kerja
example	contoh
many	banyak
any	beberapa
little	sedikit
under	bawah
next	depan
aerial	udara
conjunction	kata penghubung
or	atau
but	tetapi
if	kalau
also	juga
so that	supaya
only	hanya
walk	berjalan
walk	menjalani
cook	masak
sibling	adik
mother	ibu
food	makanan
school	sekolah
vocabulary	kosa kata
glass	gelas
television	televisi
grape	anggur
pickled	jeruk
orange	jingga
red	merah
colour	warna
louse	kutu
invitation	ajak
pestle	alu
liver	hati
skin	kulit
cooked rice	nasi
mosquito	nyamuk
wife	bini
hand	tangan
car	kereta
enter	masuk
dig	gali
head	hulu
hair	bulu
face	hadap
stop	henti
rain	hujan
vein	urat
bird	manuk
tomorrow	esok
raw	mentah
coconut	nyiur
arrow	panah
false	salah
Pandanus	pandan
close	pejam
sago palm	rumbia
year	tahun
lake	tasik
well	telaga
plant	tanam
continent	benua
cry	tangis
ray	sinar
middle	tengah
oyster	tiram
god	tuhan
light up	tunu
shrimp	udang
give	beri
bowl	bokor
kindness	budi
vinegar	cuka
people	kaum
work	kerja
love	kasih
cheese	keju
clubs	kelawar
head	kepala
lightning	kilat
frog	katak
frog	kodok
north	utara
bird	burung
sky	langit
wide	lapang
fly	terbang
tongue	lidah
oral	lisan
danger	bahaya
white	putih
public	umum
age	umur
news	warta
orphan	yatim
attractive	manis
human	manusia
fruit	buah
hope	impi
young	muda
beginning	mula
mouth	mulut
prophet	nabi
dragon	naga
parrot	nuri
island	nusa
brain	otak
because	oleh
latex	getah
break	pecah
bamboo	bambu
village	kampung
dugong	duyung
minister	menteri
hair	rambut
sarong	sarung
five	panca
market	pasar
