code,name
aaa,ghotuo
aab,alumu-tes
aac,ari
aad,amal
aae,arbëreshë albani
aaf,aranad
aag,ambrak
aah,abu' arapesh
aai,arifama-miniafi
aak,ankav
aal,afad
aan,anambé
aao,algerian saharan arabic
aap,pará arár
aaq,eastern abnaki
aar,afar
aas,aasáx
aat,arvanitika albani
aau,ab
aaw,solo
aax,mandobo atas
aaz,amarasi
aba,abé
abb,banko
abc,ambala ayt
abd,manid
abe,western abnaki
abf,abai sungai
abg,ab
abh,tajiki arabic
abi,abidji
abj,aka-b
abk,abkhazi
abl,lampung nyo
abm,abanyom
abn,ab
abo,abo
abp,abellen ayt
abq,abaz
abr,abro
abs,ambonese malay
abt,ambulas
abu,abur
abv,baharna arabic
abw,p
abx,inabakno
aby,aneme wak
abz,abui
aca,ach
acb,áncá
acd,gikyod
ace,achines
acf,saint lucian creole french
ach,acholi dialect|acholi
aci,aka-cari
ack,aka-kor
acl,akar-b
acm,mesopotamian arabic
acn,ach
acp,eastern acip
acq,ta'izzi-adeni arabic
acr,achi
acs,acroá
act,achterhoeks
acu,achuar-shiwiar
acv,achumawi
acw,hijazi arabic
acx,omani arabic
acy,cypriot arabic
acz,achero
ada,adangm
adb,adab
add,dzodink
add,lidzonk
ade,ad
adf,dhofari arabic
adg,andegerebinh
adh,adho
adi,adi
adj,adioukro
adl,galo
adn,ad
ado,ab
adq,adangb
adr,adonar
ads,adamorobe sign
adt,adnyamathanh
adu,ad
adw,amundav
adx,amdo tibet
ady,adygei
ady,adygh
adz,adzer
aea,areb
aeb,tunisian arabic
aec,saidi arabic
aed,argentine sign
aee,northeast pashai
aee,northeast pashayi
aek,haek
ael,amb
aem,arem
aen,armenian sign
aeq,aer
aer,eastern arrernt
aes,als
aeu,ak
aew,ambakich
aey,am
aez,aek
afb,gulf arabic
afd,andai
afe,putukwam
afg,afghan sign
afh,afrihili
afi,akrukay
afi,chini
afk,nanub
afn,defak
afo,eloyi
afp,tapei
afr,afrikaans
afs,afro-seminole creo
aft,afitti
afu,awut
afz,obokuitai
aga,aguano
agb,legbo
agc,agat
agd,agarabi
agf,arguni
agg,angor
agh,ngelim
agi,agariy
agj,argobb
agk,isarog agt
agl,femb
agm,angaatah
agn,agutay
ago,tai
agq,aghem
agr,aguar
ags,esimbi
agt,central cagayan agt
agu,aguacateco
agv,remontado dumagat
agw,kah
agx,agh
agy,southern alt
agz,mt. iriga agt
aha,ahant
ahb,axamb
ahg,qimant
ahh,agh
ahi,tiagbamrin aizi
ahk,akh
ahl,igo
ahm,mobumrin aizi
ahn,àhà
aho,ahom
ahp,aproumu aizi
ahr,ahirani
ahs,ash
aht,aht
aia,arosi
aib,ainu (china)
aic,ainbai
aid,alngith
aie,amar
aif,agi
